0 | 旁白 | （金鑾殿[1]。太監甩鞭三響，文武百官魚貫行至殿前。皇帝拾級而上走向龍椅） | 公元一七二二年，清康熙皇帝駕崩，川陝總督年羹堯和步軍統領隆科多在皇位繼承人大戰中為四阿哥胤禛登基立下汗馬功勞，被雍正視作社稷重臣一時權傾朝野，成為新政權的核心人物。
3 | 華妃 | （起身行禮） （景仁宮） | 臣妾先告退了。還不快走！
3 | 頌芝 | （景仁宮） | 是。
3 | 皇后 | （自語） （傳入華妃耳中。華妃受刺激狀，急步離開） （華妃目光如炬盯了福子半圈，離去） | 也不知道這屆秀女選得怎麼樣了？後宮是該好好添幾個新人，為皇上延綿子嗣了。
4 | 頌芝 | （一把將福子從轎攆旁推開） （緊步趕上轎攆貼近華妃。華妃兀自吁氣） （華妃黯然，瞥見福子，向頌芝遞了個眼色） | 去去去！憑你也配走在娘娘身邊？去，後邊去！
5 | 甄嬛 | （許願） （上善寺。木魚聲聲，香菸繚繞，甄嬛主僕三人進香拜佛） | 信女雖不比男子可以建功立業，也不願輕易辜負了自己，若要嫁人，一定要嫁於這世間上最好的男兒，和他結成連理，白首到老。但求菩薩保佑，讓信女被撂牌子，不得入選進宮。
5 | 浣碧 | （出寺路上） | 都說這兒的菩薩最靈驗，小姐的心思一定能如願。
5 | 流朱 | （出寺路上） | 小姐，別的秀女都在求中選，唯有咱們小姐想被撂牌子。菩薩一定記得真真兒的——
5 | 甄嬛 | （嗔怪） （流朱急忙捂嘴。不遠處溫實初正低頭徘徊） （出寺路上） | 噓——都說許願說破是不靈的。
5 | 浣碧 | （出寺路上） | 今天是什麼日子，怎麼溫大人也來求菩薩？
5 | 流朱 | （出寺路上） | 這個溫太醫啊，也是古怪，誰不知太醫不得皇命不能為皇族以外的人請脈診病，他倒好，十天半月便往咱們府裡跑。
5 | 甄嬛 | （出寺路上） | 你們倆話太多了，我該和溫太醫要一劑藥，好好治治你們。
5 | 甄嬛 | （甄嬛走向溫實初，溫實初迎上） | 實初哥哥
5 | 溫實初 | （甄嬛走向溫實初，溫實初迎上） | 嬛妹妹，剛剛我去府上請脈，聽甄伯母說你來這裡進香了。
5 | 甄嬛 | （甄嬛走向溫實初，溫實初迎上） | 出來走走，也是散心。
5 | 溫實初 | （甄嬛走向溫實初，溫實初迎上） | 嬛妹妹，你就不要再瞞我了。我知道為了殿選之事，你已經煩惱多日了。
5 | 甄嬛 | （甄嬛走向溫實初，溫實初迎上） | 嬛兒是盡人事以聽天命。
5 | 溫實初 | （捧出玉壺） （甄嬛走向溫實初，溫實初迎上） | 嬛妹妹，家父在世的時候常說，一片冰心在玉壺，他讓我把此壺交予我們溫家未來的——其實這也是我一直以來的心意，你若接受的話，就不用再去宮中殿選了。
5 | 甄嬛 | （低眉） （甄嬛走向溫實初，溫實初迎上） | 順治爺在世的時候就定下定例，所有未經選看的秀女斷不可私下結親。實初哥哥想一時救急，也不必拿出這麼貴重的東西來，嬛兒受不起。
5 | 溫實初 | （甄嬛走向溫實初，溫實初迎上） | 嬛妹妹，我雖是一介御醫，俸祿微薄，可是我保證會一生一世對你好，疼愛你，保護你，永遠事事以你為重。本來沒半月一次到府上去請脈，能夠偶爾見一次妹妹的笑靨，已經心滿意足了，可誰知——而且我也知道，妹妹心裡是不願意去殿選的。
5 | 甄嬛 | （甄嬛走向溫實初，溫實初迎上） | 實初哥哥這麼說，就枉顧我們一直以來的兄妹情誼了。嬛兒沒有哥哥，一直把你當作自己的親哥哥一樣看待，自然相信哥哥會待妹妹好的。自然了，以後有了嫂子，你也會對嫂子更好。
5 | 溫實初 | （流朱浣碧竊竊私語：啊？說什麼哪？） （甄嬛走向溫實初，溫實初迎上） | 實初雖然唐突了妹妹，卻是真心實意地希望妹妹不要去應選。這不僅僅是因為我心裡一直把妹妹當成……其實更是因為甄伯父曾經救過家父的性命。
5 | 甄嬛 | （甄嬛走向溫實初，溫實初迎上） | 我們兩家是世交，昔年恩義，不過是父親隨手之勞，不必掛懷。
5 | 溫實初 | （甄嬛走向溫實初，溫實初迎上） | 可是我父親當年被誣，起因也是因為後宮爭鬥，不能獨善其身。一介御醫尚且如此，何況妹妹如果被選中的話，會身在其中啊。
5 | 甄嬛 | （甄嬛走向溫實初，溫實初迎上） | 實初哥哥的話我都明白，只是我不去應選，遲早也是玉嬈，家中無子，女兒還能不孝嗎？
6 | 侍女 | （眉莊望著鏡中的自己，抿嘴淺笑） （眉莊坐於鏡前） | 真是太好看了！
6 | 沈母 | （眉莊起身走了幾步） （眉莊坐於鏡前） | 走幾步讓我看看。
6 | 姨娘甲 | （眉莊坐於鏡前） | 很好，我們大小姐走得極好。
6 | 姨娘乙 | （眉莊坐於鏡前） | 腰肢兒更軟些，皇上會喜歡。
6 | 沈母 | （眉莊坐於鏡前） | 說句話聽聽。
6 | 眉莊 | （拖下襬跪下） （眉莊坐於鏡前） | 臣女沈眉莊參見皇上太后，願皇上太后萬福金安！
6 | 姨娘甲 | （眉莊站起） （眉莊坐於鏡前） | 不錯，很合規矩。
6 | 沈母 | （眉莊坐於鏡前） | 若是皇上問你讀過什麼書呢？
6 | 眉莊 | （眉莊坐於鏡前） | 詩經、孟子、左傳——
6 | 沈母 | （眉莊不解） （眉莊坐於鏡前） | 錯了。皇上今天是選秀女，充實他自己的後宮，繁衍子嗣，不是考狀元、問學問的。
6 | 姨娘甲 | （眉莊坐於鏡前） | 女子無才便是德。
6 | 眉莊 | （眉莊坐於鏡前） | 是，女兒明白了。
7 | 太監甲 | （體元殿，太監們正在搞衛生。黃規全走進） | 公公您來了。
7 | 黃規全 | （太監們停下手中的話） （體元殿，太監們正在搞衛生。黃規全走進） | 都過來都過來。奉華妃娘娘的旨意，這體元殿離殿選的日子還有十日，務必要打掃得一塵不染、又幹淨又亮堂。若是出了半點差錯，你們可是知道娘娘的，小心你們的腦袋！
7 | 眾太監 | （體元殿，太監們正在搞衛生。黃規全走進） | 公公放心。
7 | 黃規全 | （體元殿，太監們正在搞衛生。黃規全走進） | 都幹活去吧。
7 | 眾太監 | （體元殿，太監們正在搞衛生。黃規全走進） | 是。
8 | 剪秋 | （景仁宮，擺了一桌飯菜） | 娘娘先用膳吧。
8 | 皇后 | （景仁宮，擺了一桌飯菜） | 再等一會吧。
8 | 剪秋 | （景仁宮，擺了一桌飯菜） | 皇上已經有十多天沒來用晚膳了。聽說華妃宮裡已經去請過了，估計皇上今晚在華妃那兒用膳，您要是再等，就餓著了。
8 | 皇后 | （落寞） （景仁宮，擺了一桌飯菜） | 再過幾天就是殿選了，皇上今天一定會來。
9 | 張廷玉 | （養心殿？） | 皇上對年大將軍等愛臣的寵信優渥，可但凡人臣大多數是“成功易，守功難”。
9 | 皇帝 | （養心殿？） | 你是提醒朕提防有些人倚功造過、興風作浪嗎？
9 | 張廷玉 | （行禮退身離去。皇帝沉思狀） （養心殿？） | 皇上明察，微臣大概過慮了。微臣告退。
9 | 蘇培盛 | （養心殿？） | 皇上您的茶涼了吧？奴才替您換一杯。
9 | 皇帝 | （低緩） （養心殿？） | 不用了。
9 | 蘇培盛 | （養心殿？） | 翊坤宮的周寧海在外頭候著，華妃娘娘請皇上移步翊坤宮用膳。
9 | 皇帝 | （養心殿？） | 朕不過去了。
9 | 蘇培盛 | （養心殿？） | 那皇上的意思是——
9 | 皇帝 | （養心殿？） | 朕去瞧瞧皇后。
9 | 蘇培盛 | （提聲向殿外） （養心殿？） | 嗻！擺駕景仁宮！
10 | 頌芝 | （翊坤宮。一桌飯菜） | 娘娘，這菜都涼了，我再拿去熱熱吧。
10 | 華妃 | （周寧海垂頭走進） （翊坤宮。一桌飯菜） | 等皇上來了再熱吧。
10 | 周寧海 | （跪下） （翊坤宮。一桌飯菜） | 稟娘娘，皇上今日在景仁宮用膳。
10 | 華妃 | （翊坤宮。一桌飯菜） | 知道了。
10 | 周寧海 | （起身） （翊坤宮。一桌飯菜） | 娘娘，您別生氣。
10 | 華妃 | （拿筷子夾菜） （數夾不中，憤然放下筷子） （翊坤宮。一桌飯菜） | 哼，有什麼好生氣的，皇后終歸是皇后，皇上陪她用頓膳是應該的。今兒又不是十五。
11 | 皇帝 | （喝了幾口湯，碗沒放下） （景仁宮，皇帝皇后在用膳） | 皇后的手藝又精進了。
11 | 皇后 | （景仁宮，皇帝皇后在用膳） | 皇上喜歡就好。
11 | 皇帝 | （繼續喝） （景仁宮，皇帝皇后在用膳） | 如今你貴為皇后，後廚的事就讓下人去做吧。
11 | 皇后 | （景仁宮，皇帝皇后在用膳） | 臣妾雖為皇后，也是皇上的妻子，身為人妻，侍奉夫君，怎麼會覺得累呢？
11 | 皇帝 | （飲盡） （遞碗給剪秋。剪秋接過碗要盛湯被皇后制止） （景仁宮，皇帝皇后在用膳） | 這湯燉得入味，剪秋！
11 | 皇后 | （景仁宮，皇帝皇后在用膳） | 皇上，老祖宗的規矩“食不過三”，這道鴨子湯雖然好，可已經是第三碗了，若再動筷，恐怕這菜十天半個月也上不了桌了。
11 | 皇帝 | （景仁宮，皇帝皇后在用膳） | 幸虧皇后提醒。
11 | 皇后 | （景仁宮，皇帝皇后在用膳） | 不偏愛，懂節制，方得長久。
11 | 皇帝 | （景仁宮，皇帝皇后在用膳） | 飲食如此，人亦如此，你是想說這個吧。
11 | 皇后 | （夾菜） （景仁宮，皇帝皇后在用膳） | 皇上聖明。皇上喜歡這道菜，再嘗些吧。
11 | 皇帝 | （拿餐巾擦嘴） （景仁宮，皇帝皇后在用膳） | 食不言，寢不語。
11 | 皇后 | （急聲） （景仁宮，皇帝皇后在用膳） | 今日新沏的茶極好，皇上嚐嚐。
11 | 皇帝 | （起身離去，餐巾擲於地上） （景仁宮，皇帝皇后在用膳） | 不了，朕去瞅瞅華妃。
11 | 皇后 | （屈膝行禮） （嘆氣） （景仁宮，皇帝皇后在用膳） | 恭送皇上。
12 | 華妃 | （翊坤宮） | 皇上萬福金安。
12 | 皇帝 | （華妃起身，拉手） （翊坤宮） | 來。以後啊，別在門口等朕，秋涼了，容易得風寒。
12 | 華妃 | （翊坤宮） | 多謝皇上關懷。
12 | 皇帝 | （瞅見福子） （翊坤宮） | 你是新來的？
12 | 福子 | （翊坤宮） | 是，奴婢是皇后指過來侍奉娘娘的。
12 | 皇帝 | （轉向華妃） （轉向福子） （翊坤宮） | 嗯，長得還算清秀，配在你宮裡伺候。多大了？
12 | 福子 | （翊坤宮） | 十七。
12 | 皇帝 | （輕拍華妃手背） （翊坤宮） | 十七，真年輕啊。朕記得你剛入雍親王府的時候，也是十七。
12 | 華妃 | （隨皇帝入殿，側眼瞪福子） （翊坤宮） | 皇上記性可真好。
13 | 嬤嬤 | （一輛輛馬車魚貫入宮，下車後的秀女們聚在一塊議論紛紛） | 漢軍旗滿軍旗都排好了，兩人一隊都站好了。容奴才再提醒各位小姐一次，各位小姐是千挑萬選留下來要皇上和太后親自相看的，這是天大的恩典，自然各位小姐也別緊張，別錯了規矩就成。主子不留用的便是撂牌子，賜花歸府；留用呢，就是被選中了，或者當場指婚給哪位宗親，福氣更大的，成了宮裡頭的小主，先暫居本家，等著冊了輩分，選吉日入宮。這些就看各位小姐自己的福氣和造化了。
13 | 華妃 | （觀望了一會，表情落寞） （秀女們兩人一排組成長隊被帶往體元殿。華妃乘轎攆路過） | 停！走吧。
13 | 嬤嬤 | （一輛馬車趕來，安陵容下車） | 出什麼事了，怎麼來得這麼晚啊？
13 | 陵容 | （一輛馬車趕來，安陵容下車） | 姑姑好。
13 | 嬤嬤 | （一輛馬車趕來，安陵容下車） | 險些誤了好時辰。這城門要是關上了，你這一年不是白來了嗎？
13 | 陵容 | （一輛馬車趕來，安陵容下車） | 我住的遠，一時又叫不上腳程快的馬車，所以延誤了，還請姑姑寬恕。
13 | 嬤嬤 | （一輛馬車趕來，安陵容下車） | 行，快進去吧。
13 | 陵容 | （一輛馬車趕來，安陵容下車） | 今日託姑姑的福才沒有延誤，若碰上旁人哪還有這樣的福氣？
13 | 嬤嬤 | （一輛馬車趕來，安陵容下車） | 嘴還挺甜的，快，快進去吧，站在後面啊。
13 | 陵容 | （行禮） （一輛馬車趕來，安陵容下車） | 嗯，多謝姑姑。
13 | 嬤嬤 | （一輛馬車趕來，安陵容下車） | 去吧，快去。
14 | 甄嬛 | （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 眉姐姐！
14 | 眉莊 | （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 嬛兒，早就聽說妹妹中選了，可就是一直不得空見你。
14 | 甄嬛 | （湊近） （眉莊淺笑） （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 我倒巴不得沒選上呢。姐姐遠道過來一定很辛苦吧。
14 | 眉莊 | （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 在京裡休息了這些日子，早已經調養過來了。
14 | 甄嬛 | （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 如今你住在自己京城的宅子裡，不比從前住在外祖家，一牆之隔，見面也方便。
14 | 眉莊 | （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 是啊。可是我總還想著我們一起長大的情分呢。誒？妹妹今日打扮得好生素淨，可是細看起來還是個美人坯子，怎麼看都是好的。
14 | 甄嬛 | （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 沈大美人差矣。姐姐出落得這麼標緻，皇上見過必定會念念不忘。
14 | 眉莊 | （伸手製止，左右看了下） （秀女們在等候殿選。甄嬛看見了眉莊，上前相認） | 今天秀女佼佼者眾多，我未必中選，若教旁人聽見了，又要生出是非。
15 | 太監甲 | （太監捧一盤紅花出去，小廈子遞花給秀女） （皇帝望了望殿外一排秀女，搖頭） | 嘉興知府之女夏如花，撂牌子、賜花！通政司副史付安之女付華，撂牌子，賜花！吏部侍郎曹必應之妹曹香玉，撂牌子、賜花！步軍營副統領林庭政之女林青雲，撂牌子、賜花！
16 | 夏冬春 | （抓住安陵容，厲聲） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 你是哪家的秀女啊，拿這麼燙的茶水澆在我身上，想作死嗎？
16 | 沈眉莊 | （對甄嬛） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 皇家宮苑，天子近旁，誰這般輕狂？
16 | 安陵容 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 對不住，對不住——
16 | 夏冬春 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 問你呢，你是哪家的？
16 | 安陵容 | （低眉細聲） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 我、我叫安陵容，家父、家父是——
16 | 夏冬春 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 難道你連自己父親的官職也說不出口嗎？
16 | 安陵容 | （低眉顧盼左右） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 家父松陽縣丞安比槐
16 | 夏冬春 | （甄嬛欲上前被眉莊制止） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 果然是窮鄉僻壤裡出來的小門小戶，何苦把臉丟到宮裡。
16 | 秀女甲 | （夏冬春得意狀） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 你可知你得罪的是包衣左領家的小姐夏冬春？
16 | 安陵容 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 陵容初來宮中，一時惶恐才失手將茶水灑在夏姐姐的身上，並非存心，還望姐姐原諒陵容無心之失。
16 | 夏冬春 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 即便讓你面聖也不會被留用的，有什麼可惶恐的？能讓你進紫禁城，已經是你幾輩子的福分了，還敢痴心妄想？
16 | 安陵容 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 姐姐若是生氣，妹妹賠姐姐一身衣裳就是了。
16 | 夏冬春 | （打量陵容上下） （嘲笑） （眾秀女笑） （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 賠？你這身衣裳是新做的吧？針腳那麼粗，定是趕出來的，用的還是早兩年京城就不時興的織花緞子，我這身衣裳啊，那可是蘇繡！你是要拿你頭上那兩支素銀簪子賠呀，還是要拿你手上那兩隻送人都沒人要的鎦金鐲子賠呀？
16 | 安陵容 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 今日之事是陵容的錯，還請姐姐息怒。
16 | 夏冬春 | （安陵容捧一杯茶撞在夏冬春身上，杯子落地粉碎） | 這件事要作罷也可，你即便跪下向我叩頭請罪，我便大人打量，算了！
16 | 秀女乙 | （陵容忍住淚水） （秀女甲欲上前，被秀女乙制止） | 姐姐，別去得罪了人，皇上怎麼會選一個窮鄉僻壤出來的女兒做妃嬪？夏氏倒有幾分可能入選。
16 | 夏冬春 | （秀女甲欲上前，被秀女乙制止） | 跪呀。
16 | 甄嬛 | （上前） （秀女甲欲上前，被秀女乙制止） | 一件衣裳罷了，夏姐姐寬巨集大量，不值得生氣。
16 | 夏冬春 | （秀女甲欲上前，被秀女乙制止） | 你是誰？
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 家父是大理寺少卿甄遠道。
16 | 夏冬春 | （秀女甲欲上前，被秀女乙制止） | 大理寺少卿，也不是什麼高官。
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 凡事不論官位高低，只論個理字。
16 | 夏冬春 | （秀女甲欲上前，被秀女乙制止） | 你自負美貌，以為必然入選，便可以指使我嗎？
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 不敢，我只是為姐姐著想罷了。今日漢軍旗大選，姐姐這樣怕會驚動了聖駕，若是龍顏因此震怒，又豈是你我可以擔當的？即便聖駕未驚，若傳到他人耳中，壞了姐姐賢良的名聲，更丟了咱們漢軍旗的臉面。如此得不償失，還望姐姐三思。
16 | 夏冬春 | （無力辯駁） （秀女甲欲上前，被秀女乙制止） | 我會記著你的！
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 姐姐貌美動人，見過姐姐之人才會念念不忘呢。
16 | 夏冬春 | （轉身離去） （秀女甲欲上前，被秀女乙制止） | 哼！
16 | 甄嬛 | （轉向安陵容） （秀女甲欲上前，被秀女乙制止） | 沒事吧？
16 | 安陵容 | （秀女甲欲上前，被秀女乙制止） | 多謝姐姐出言相助。今日之恩，沒齒難忘。
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 舉手之勞，莫要掛懷。
16 | 安陵容 | （秀女甲欲上前，被秀女乙制止） | 那位夏姐姐不是什麼友善之輩，姐姐為我惹了她，恐怕要招來煩惱。
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 是她煩惱，我沒有。
16 | 沈眉莊 | （秀女甲欲上前，被秀女乙制止） | 皇宮禁內，你也這樣膽大包天？
16 | 安陵容 | （秀女甲欲上前，被秀女乙制止） | 這位是？
16 | 甄嬛 | （秀女甲欲上前，被秀女乙制止） | 這位是眉莊姐姐。
